TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
JCDB11;0,00;;0,00;241,16;;;0,45;;;251.520.591,28;58,00;;1.042.957,00
JCIN11;148,90;0,265611;3,99;182,65;0,82;9.973.769,00;0,38;;;240.682.024,78;12,00;;1.317.717,00
JFLL11;65,03;0,200000;9,79;93,77;0,69;69.297,09;2,61;-5,10;16,23;140.709.122,42;2.348,00;;1.500.598,00
JPPA11;85,28;1,060000;15,27;99,57;0,85;128.313,32;6,97;-3,62;8,46;90.015.227,34;6.297,00;;904.050,00
JPPC11;11.251,61;0,350000;0,26;61,16;183,97;8.342.197.891,30;101,26;;;3.363.854,71;492,00;;55.000,00
JRDM11;85,00;0,400000;0,00;63,81;1,33;0,00;3,50;28,90;2,34;118.155.565,38;8.102,00;;1.851.786,00
JSAF11;7,94;0,080000;13,09;9,26;0,86;1.947.196,14;7,07;-3,29;13,69;717.623.551,51;23.527,00;;77.523.290,00
JSCR11;8,55;0,095000;13,40;9,46;0,90;384.538,64;8,24;;;209.466.537,42;3.405,00;;22.137.100,00
JSRE11;66,35;0,480000;8,60;105,88;0,63;3.144.494,18;0,73;1,43;10,98;2.198.750.330,60;85.016,00;;20.767.328,00
JTPR11;2.517,00;1,630372;0,00;64,50;39,02;;25,47;;;13.846.300,83;7,00;;214.674,00
KCRE11;8,82;0,080000;13,38;9,47;0,93;603.385,45;4,44;0,89;11,69;340.824.772,71;16.025,00;;36.000.000,00
KEVE11;613,00;19,634261;22,31;392,91;1,56;5.523,24;33,70;;5,27;58.033.016,95;429,00;;147.700,00
KFEN11;1.100,00;8,220000;10,53;944,67;1,16;0,00;11,23;;;168.765.735,09;129,00;;178.651,00
KFOF11;84,05;0,800000;11,09;93,32;0,90;1.460.845,32;9,40;-1,29;15,41;654.582.946,14;30.034,00;;7.014.565,00
KINP11;10,00;3,053493;0,00;63,81;0,16;0,00;3,50;;6,41;118.155.565,38;8.102,00;;1.851.786,00
KISU11;6,99;0,070000;12,05;8,43;0,83;664.397,68;3,00;-1,72;5,65;372.595.623,95;102.782,00;;44.196.050,00
KIVO11;67,46;1,140000;16,90;85,61;0,79;324.086,23;25,57;-9,26;6,74;190.279.304,85;6.912,00;;2.222.736,00
KLOG11;0,00;;0,00;0,95;;;1,72;;;380.450.425,13;354,00;;401.399.022,00
KNCR11;105,44;1,200000;13,96;102,26;1,03;20.169.653,05;7,59;3,40;15,09;9.741.403.716,00;478.976,00;;95.264.832,00
KNHF11;97,42;1,000000;12,05;100,53;0,97;4.394.564,50;5,64;;;1.976.747.784,26;56.137,00;;19.663.235,00
KNHY11;100,07;0,960000;13,98;98,60;1,01;4.446.667,77;3,02;2,73;14,55;3.073.780.367,14;28.002,00;;31.173.083,00
KNIP11;90,53;0,700000;10,97;92,65;0,98;8.948.200,41;8,20;1,88;11,46;7.419.070.211,58;70.745,00;;80.078.186,00
KNPR11;0,00;2,810000;0,00;98,96;;;7,48;;;57.389.620,28;594,00;;579.911,00
KNRE11;0,34;0,001240;1,70;0,63;0,54;2.213,05;33,63;;31,36;11.733.911,22;5.661,00;;18.547.161,00
KNRI11;165,50;0,880000;7,38;163,20;1,01;6.286.888,32;3,89;-0,22;15,17;4.602.845.516,98;303.496,00;;28.204.047,00
KNSC11;8,92;0,090000;12,71;8,80;1,02;6.329.228,14;5,62;4,57;13,72;1.779.084.568,15;247.940,00;;202.202.385,00
KNUQ11;104,90;1,300000;14,98;101,33;1,03;4.809.387,86;5,29;;;2.177.083.457,47;47.451,00;;21.484.730,00
KOPI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
