TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VVMR11;84,99;0,200000;1,95;89,54;0,95;32.960,00;1,02;-26,18;3,44;252.781.460,68;542,00;;2.823.180,00
VVPR11;101,50;0,892340;0,00;63,81;1,59;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VVRI11;87,55;0,350000;7,19;91,85;0,95;1.313,75;5,82;;;73.726.082,91;145,00;;802.683,00
VXXV11;728,00;93,020000;0,00;516,23;1,41;1.598.932,09;0,13;;;246.695.794,24;11,00;;477.875,00
WHGR11;9,18;0,100000;13,42;9,84;0,94;391.373,14;2,02;-2,38;16,36;304.099.113,98;15.430,00;;30.912.378,00
WPLZ11;52,98;0,370000;10,47;54,69;0,90;3.005,64;1,45;-0,13;-1,66;64.903.883,39;1.533,00;;1.186.683,00
WSEC11;1,41;0,020354;56,68;1,47;0,96;1.533,00;103,39;-2,33;26,90;3.603.090,71;918,00;;2.456.510,00
WTSP11;60,00;0,970000;6,05;94,38;0,64;35.524,69;1,37;-1,33;19,68;116.898.051,49;248,00;;1.238.572,00
XBXO11;0,00;;0,00;8,51;;;0,02;;;25.897.183,09;5,00;;3.042.600,00
XPCI11;83,08;0,880000;13,14;89,26;0,93;2.548.968,73;1,19;0,03;14,80;776.689.505,09;72.815,00;;8.701.551,00
XPCM11;8,10;0,020000;0,00;28,81;0,28;14.705,05;1,50;-34,84;-16,75;69.557.854,04;2,00;;2.414.570,00
XPIN11;77,49;0,850000;12,14;102,65;0,76;748.846,68;2,33;7,23;14,27;733.994.607,77;40.970,00;;7.150.422,00
XPLG11;102,61;0,820000;9,65;105,50;0,97;6.170.642,73;1,81;2,19;13,38;4.221.707.849,30;334.798,00;;40.015.690,00
XPML11;110,35;0,920000;10,01;108,16;1,02;19.014.974,32;1,61;3,32;14,65;6.333.860.101,76;633.076,00;;58.559.855,00
XPRE11;0,00;;0,00;;;;;;;;;;0,00
XPSF11;6,79;0,070000;11,34;8,11;0,84;1.084.027,00;4,67;-5,38;10,30;351.310.340,29;55.688,00;;43.302.140,00
YEES11;102,00;;0,00;101,48;1,01;81,60;2,33;;;24.350.879,03;132,00;;239.955,00
YUFI11;15,00;0,171599;4,61;45,55;0,33;15,00;3,87;;;22.442.663,70;57,00;;492.650,00
ZAGH11;9,30;0,059000;7,88;9,11;1,10;1.661,91;0,26;;;80.967.770,15;477,00;;8.891.662,00
ZAVC11;8,85;0,120000;17,51;10,13;0,87;29.533,77;22,40;;;36.294.665,67;586,00;;3.582.421,00
ZAVI11;10,07;0,110000;12,98;13,57;0,76;44.496,27;3,51;-1,27;5,00;159.184.562,26;2.410,00;;11.733.220,00
ZIFI11;900,00;3,304958;0,00;1.757,66;0,51;1.226,33;0,00;;-3,45;83.462.409,14;88,00;;47.485,00
